Date,Open,High,Low,Close,Adj Close,Volume
2018-02-20,45.459999,46.709999,45.389999,46.320000,45.203011,25512000
2018-02-21,46.669998,47.060001,45.919998,45.939999,44.832172,27527500
2018-02-22,46.139999,46.560001,45.619999,45.799999,44.695553,16946400
2018-02-23,46.340000,47.790001,46.310001,47.730000,46.579006,26040900
2018-02-26,48.200001,49.130001,48.099998,49.110001,47.925732,26992300
2018-02-27,49.369999,50.900002,49.310001,49.910000,48.706440,43624100
2018-02-28,50.180000,50.340000,49.279999,49.290001,48.101391,35541200
2018-03-01,49.500000,49.720001,47.470001,47.840000,46.686356,36326600
2018-03-02,47.200001,49.049999,46.959999,48.980000,47.798870,33310600
2018-03-05,48.570000,49.799999,48.040001,49.750000,48.550301,30826500
2018-03-06,50.160000,51.330002,50.150002,50.709999,49.487148,39132300
2018-03-07,50.180000,51.490002,50.099998,51.320000,50.082439,31801900
2018-03-08,51.790001,52.080002,50.470001,50.740002,49.516426,29481200
2018-03-09,51.270000,52.299999,51.000000,52.189999,50.931461,32727900
2018-03-12,51.860001,51.950001,50.500000,51.520000,50.277618,32044400
2018-03-13,52.520000,53.779999,51.389999,51.779999,50.531345,45573900
2018-03-14,52.060001,52.180000,51.310001,51.860001,50.609421,24993500
2018-03-15,52.230000,52.299999,50.880001,50.880001,49.653053,25631200
2018-03-16,51.169998,51.700001,50.990002,51.169998,49.936054,42559800
2018-03-19,50.740002,51.230000,49.930000,50.830002,49.604252,31115200
2018-03-20,50.880001,51.810001,50.849998,51.549999,50.306892,22215000
2018-03-21,51.549999,52.169998,51.169998,51.560001,50.316650,23239500
2018-03-22,50.740002,51.959999,50.599998,50.830002,49.604252,30916000
2018-03-23,50.590000,50.990002,49.360001,49.360001,48.169704,37683900
2018-03-26,50.740002,52.490002,50.320000,52.480000,51.214466,39306200
2018-03-27,53.009998,53.250000,50.779999,51.189999,49.955570,38777000
2018-03-28,50.500000,50.700001,49.009998,49.599998,48.403915,37970900
